TST_02d320a457903d | gıda termometresi | dempower gıda termometresi [pratik mutfak gereçleri] marka:skygo renk:çok renkli materyal:plastik
TST_040c0a567a5f65 | etnik kilim | dijital kaymaz yıkanabilir gri antrasit salon halısı mutfak halısı yolluk halı [halı] marka:decomia home renk:gri materyal:polyester
TST_0d17db47b7de44 | pilli lamba | jujutsu kaisen satoru gojo anime masa lambası [masa ve gece lambası] marka:petradesign renk:çok renkli materyal:akrilik
TST_0f2858ac3c5120 | samsung s24 ultra | yenilenmiş samsung galaxy s23 128 gb krem cep telefonu (12 ay garantili) - a kalite [yenilenmiş cep telefonu] marka:samsung renk:bej
TST_14622e3a7202ee | taş tozu silikon kalıp | 4 adet mini şirinler mantar ev seti, 4 boy silikon kalıp k-1009, taş tozu sabun alçı mum k [el işi malzemesi] marka:morlalem m
TST_1923a51a4a6461 | yükseklik ayarlı masa | çekmeceli katlanır laptop sehpası, tablet sehpası, ders çalışma masası [laptop sehpası] marka:oxy renk:siyah materyal:mdf
TST_19466ab03d66c2 | akrilik boya | akrilik boya 140ml boncuk mavi 3014 [akrilik boya] marka:artdeco renk:beyaz
TST_1d54037dbce8a0 | fındıklı dibek kahvesi | dibek kahvesi ölçek kaşıklı teneke kutu 400 gr- orta kavrulmuş türk kahvesi 100 gr [türk kahvesi] marka:mahmood
TST_1d556763fd86a6 | rüştü hoca | 2026 kpss genel kültür coğrafya konularına göre tamamı çözümlü son 11 yıl çıkmış sorular [sınav hazırlık] marka:yediiklim yayınları
TST_1dc43c89ca812d | çay bardağı telefon süsü | 2'li çay bardak çay bardağı– bebek evi mini minyatür aksesuar ve diorama dollhouse telefon [maket] marka:charmfancy
TST_1e28a3a9dc8843 | ikea gardolap | kale 8 kapaklı 4 çek dolap ve yüklük beyaz [dolap ve gardırop] marka:minar renk:beyaz
TST_3574d62da4b6a4 | şarjlı otomatik oda kokusu | sprey aerosol aşkın büyüsü 300 ml [koku giderici ve hava temizleyici] marka:glade
TST_38c8e48a7ea519 | takı kolye standı | italyan zincir çelik kararmaz kolye - hediye paketli - hediye kutulu [çelik kolye] marka:muestaki kadın renk:altın materyal:paslanmaz çelik
TST_3a4a7df32adfdc | vakumlu saklama kabı | duo 300ml 6'lı bambu vakumlu kapaklı cam kahvaltılık seti [kahvaltılık] marka:atbyhome renk:krem materyal:bambu
TST_42319fd6055bb5 | çift sweatshirt | east hampton sweatshirt eşofman altı jogger - gri baskılı alt üst eşofman takımı kapüşonlu [eşofman takımı] marka:seuscraft kadın renk:gri materyal:pamuklu
TST_45c64319575473 | tonny black casual ayakkabı | wagon deri ayakkabı [casual ayakkabı] marka:camper unisex renk:siyah materyal:tekstil
TST_46bc829c7f148b | diş fırçası kutusu | seyahat tipi aksesuar taşıma kabı gözlük diş macunu diş fırçası saklama kutusu siyah makya [diş fırçalık] marka:lime home renk:siyah materyal:plastik
TST_4872f4ea73a784 | büyük bez çanta | black clover baskılı bez omuz çantası kişiye özel model 2 [omuz çantası] marka:art hediye unisex renk:beyaz materyal:polyester
TST_5afa3b58f2445a | koleksiyon rafı | camlı vitrin - camlı dolap - camlı koleksiyon vitrini - teşhir vitrini 175x70x30 [vitrin & gümüşlük] marka:cam dolap renk:siyah materyal:cam
TST_61a398992b489b | kızıl saç boyası | bitkisel saç boyası 8-44 kızıl bakır 60 ml - oksidan hediyeli (%100 amonyaksiz) [saç boyası] marka:renna unisex renk:turuncu
TST_697debcb701b68 | milk & moo suluk | dome çelik termos kız çocuk matara 800 ml. sht-st-8081-1 [suluk & matara] marka:shotay renk:mor materyal:belirtilmemiş
TST_6a3b065a9b74ef | şarjlı otomatik oda kokusu | sprey aerosol aşkın büyüsü 300 ml [koku giderici ve hava temizleyici] marka:glade
TST_6df0b44f2bd344 | 2 kişilik | 6 lı fincan takımı uzun tabak (butterfly) 90 cc ist-147 [kahve fincanı] marka:kosova renk:mavi materyal:porselen
