TST_be2011390ab3b8 | kedili kazak | kedi köpek için mavi beyaz çizgili kazak [köpek kıyafeti] marka:lady fify renk:mavi
TST_46d8f35340bdce | beyaz eşya | siyah cam avantaj ankastre set - 3’lü ankastre set [ankastre] marka:beko renk:siyah
TST_a40b587c7f94d0 | taç tencere | taç bengü 22 derin tencere [tencere] marka:porland renk:beyaz materyal:çelik
TST_90d087bcdb8206 | manzara puzzle | home londra manzara 1000 parça profesyonel puzzle-14 [puzzle] marka:bk gift
TST_bd8f74630a41e0 | semaver | çay semaveri çay kazanı 19lt elektrikli 2 hazneli (demlik dahil değildir) [çay makinesi] marka:mizan renk:bej materyal:çelik
TST_c33c39d8fc2924 | polo air saat seti | su geçirmez erkek kol saati çakmak tesbih ve bileklik set [saat seti] marka:wesscollection erkek renk:siyah materyal:metal
TST_74e4c860398fdc | samsung cep telefonu | yenilenmiş samsung galaxy s22 ultra 5g 256 gb hayalet siyah cep telefonu (12 ay garantili) [yenilenmiş cep telefonu] marka:samsung renk:siyah
TST_fc1905b2dc26f3 | sinek tuzağı | sarı yapışkan tuzak 25x10 cm beyaz sinek 1 paket (10'lu) [sera ve sera ekipmanları] marka:bks
TST_8ae5a2e3d65d9b | gümüş topuklu ayakkabı | gümüş bilekten taşlı saten malzeme topuklu kadin ayakkabı [abiye ayakkabı] marka:mikana moda kadın renk:gümüş materyal:deri
TST_6c7f6a0f784431 | gümüş parlatıcısı | goddard's gümüş parlatıcı temizleyici - 125 ml 2 adet [ahşap temizleyici ve parlatıcı] marka:turan bilgisayar
TST_c2c1906fa9124b | çeyizlik eşya | görümce kristal 6adet altın yaldızlı gold kahve yanı ikramlık şekerlik çikolatalık lokumlu [şekerlik] marka:papatyamdekor züccaciye renk:turuncu materyal:cam
TST_865f7f5990321a | kapı altı logo | bjk uyumlu araba kapı altı led hayalet logo pilli yapıştırmalı 2 adet [oto kapı kolu] marka:fırsatlar burada
TST_d3ffedb92c9d4b | klozet kapağı | çınar thermoplast yavaş kapanan klozet kapağı kc0703.03 [klozet kapağı] marka:creavit renk:beyaz materyal:plastik
