TST_7dab89dd3af17a | kız çocuk kalın askılı atlet | techfit crop training tank top [atlet] marka:adidas kadın renk:siyah materyal:kumaş
TST_513ec802b0cd5c | yeşillik saklama kabı | iki/tek katlı paslanmaz çelik kolay kilit sefer tası yemek kabı gıda kutusu/termal vgn [beslenme çantası] marka:vagonlife unisex renk:çok renkli
TST_a5a005f413ef5c | küçük fotoğraf | 3'lü etnik doğu kapısı toprak tonlarında set, oturma odası tablosu, salon dekoru, poster ç [tablo] marka:home renk:bej materyal:kağıt
TST_d0c3b2e5ea266c | akrobat masa lambası | mantar masa lambası şarj edilebilir 3 farklı renk ve işık gücü ayarlanabilir bakır tonu [masa ve gece lambası] marka:cata renk:metalik materyal:metal
TST_fe3de0333959b8 | sleepy mop | islak havlu mendil bio natural 40 yaprak yeni doğan (9 lu set) plastik kapaklı 360 yaprak [islak mendil] marka:sleepy
TST_d7646988de4cd5 | 18 jant bisiklet | sportive 328c erkek şehir bisikleti 480h hd 28 jant 18 vites mat siyah kirmizi [bisiklet] marka:carraro erkek renk:çok renkli materyal:alüminyum
TST_44f5921ca12ea8 | outdoor | fırdöndü (144 adet) [fırdöndü] marka:shogun
TST_8342201576f72d | 5   6 yaş zeka geliştirici oyuncaklar | sevimli meditasyon faresi hhh49 [eğitici oyuncak] marka:fisher price
TST_c3f62b8f51a1cf | 84 parça 12 kişilik çatal kaşık bıçak takımı | walter gold 84 parça çatal kaşık bıçak seti [çatal & bıçak & kaşık] marka:pierre cardin renk:altın materyal:çelik
TST_ed423889fbb7b4 | isimli etiket | kişiye özel isimli atatürk temalı ahşap kitap ayracı-21 [dekoratif obje ve biblo] marka:bk gift renk:çok renkli materyal:ahşap
TST_1efd62a53bdaf2 | kahve dünyası granül kahve | dolce gusto coffee lungo 16 kapsül x 3 adet [granül kahve] marka:nescafe
TST_bd4b3776ee0b0b | çizgisiz | kişiye özel 2'li roller ve dolma kalem seti 084 [imza kalemi] marka:hediye vakti renk:çok renkli
TST_a00552135e8a84 | süs yastık | çift boyun destekli ortopedik visco yastık, 60x40x11/9 cm beyaz [yastık] marka:viscotex renk:beyaz materyal:pamuk viskon polyester
TST_e59e9e85f83903 | microfer | damla 5 ml [vitamin] marka:kaleidon
TST_3a8f385a93e44e | islak tuvalet kağıdı | deluxe pamuk katkılı tuvalet kağıdı 32'li [tuvalet kağıdı] marka:selpak
TST_0dd4d72f1fc945 | dolap içi raf örtüsü | lider magnesia hali kaydirmaz dolap içi raf örtüsü 30*50cm mavi [dolap içi düzenleyici] marka:lider magnesia renk:siyah materyal:plastik
TST_bd390957a56903 | uzatma kablo | topraklı seyyar uzatma kablosu 50 metre ttr cca beyaz tek prizli [grup priz uzatma kablosu] marka:anzeygrup renk:gri
TST_435719936c48a9 | duvar mopu | turbo pedallı tek kova (takım değil) + üçgen aparat [paspas ve mop] marka:vileda
TST_64ce53a9442c43 | çalışma masası | resim kağıdı rulolu aktivite masası çocuk çalışma masası oyuncak dolabı [oyun & aktivite masası] marka:obi atölye renk:çok renkli materyal:mdf
TST_923210a2f669e5 | baharatlık kavanoz | xap-21-0516 qualita king emaye 3 parça dama baharatlık kavanoz seti [baharatlık] marka:acar materyal:porselen
TST_ef7e799eb98c49 | beyza alkoç | daire 7 no 26 karton kapak beyza alkoç 2 kitap set [roman] marka:indigo kitap
TST_04dbb2e49233af | içi kürklü erkek ceket | kahverengi erkek blazer ceket 47005607 [ceket] marka:mango man erkek renk:kahverengi materyal:keten
TST_ae781f2e7affd8 | bayar gold altın bileklik | altın çengel iğne nazar mavi mineli taşlı (bayan) [altın bileklik] marka:sembol gold unisex renk:sarı materyal:altın
TST_deb52fe5084836 | ayt coğrafya | coğrafya gurmesi yayınları ayt coğrafya soru bankası [sınav hazırlık] marka:bes yayınları
TST_d9b9639811f82d | yüz temizleme pedi | sebium karma yağlı ve eğilimli ciltler için arındırıcı günlük temizleme jeli 100 ml [yüz temizleyici] marka:bioderma
TST_2a667d511f9cd1 | güneş enerjili kamera | ntl-ıp05-3mp iç mekan 360 pan/tilt wi-fi bebek kamerası [akıllı kamera] marka:neutron renk:beyaz
TST_c03b65a30ba12c | hotfix | dmc hotfix ütü ile yapışan taş ss30 kristal- 25gram (220ad) [boncuk] marka:crystalshop
TST_c19d3d478d8612 | erkek düğmeli pijama | bej rengi kalp baskılı fitilli kaşkorse örme düğmeli gömlek yaka pijama takım [pijama takımı] marka:siyah inci kadın renk:bej materyal:polyester
TST_0f41a83edbe190 | kuyumcu nurettin altın küpe | altın bebek küpesi [altın küpe] marka:hakan güler kuyumculuk unisex renk:sarı materyal:altın
TST_674cae08b6ca16 | kırıcı delici ve kırıcı | çamaşır bulaşık makine temiz su giriş hortum 3 metre [kırıcı delici & kırıcı] marka:skygo
TST_9db8312d376ed3 | instax liplay | cmr14 pembe dijital video fotoğraf çocuk kamerası anlık termal resim kağıt baskılı yazıcı [dijital fotoğraf makinesi] marka:imextech renk:pembe
