term_id,item_id,label
TERM_00065254,ITEM_79156827cef2,1
TERM_00065254,ITEM_f072c126738f,0
TERM_00065254,ITEM_6498820f78fd,1
TERM_00065254,ITEM_02dec327455a,0
TERM_00065254,ITEM_a10b346a0c55,0
TERM_00065254,ITEM_d5c4260b626c,0
TERM_000e6a73,ITEM_26864b0c8d6f,1
TERM_000e6a73,ITEM_70df6114676f,1
TERM_000e6a73,ITEM_dbc3a2f43d31,1
TERM_000e6a73,ITEM_c2ff99a2d9a6,0
TERM_000e6a73,ITEM_09477ad1c2dd,1
TERM_000e6a73,ITEM_34e5d38162ce,1
TERM_00114a19,ITEM_68a95a7586a3,1
TERM_00114a19,ITEM_8723d97aa551,1
TERM_00114a19,ITEM_72ed08f22b09,1
TERM_00114a19,ITEM_014a3288154f,1
TERM_00114a19,ITEM_4525eaedd987,1
TERM_00114a19,ITEM_a6d7a70ecdb7,0
TERM_0019aa2a,ITEM_5d2a12c67dad,1
TERM_0019aa2a,ITEM_27654ec068a7,0
TERM_0019aa2a,ITEM_e1154267f64e,1
TERM_0019aa2a,ITEM_2c12e4819d5a,1
TERM_0019aa2a,ITEM_7c13f3f1140a,1
TERM_0019aa2a,ITEM_20943710297b,0
TERM_001a453a,ITEM_2f0632ebaf94,1
TERM_001a453a,ITEM_0473c61092f1,1
TERM_001a453a,ITEM_2b789df9cc07,1
TERM_001a453a,ITEM_e29fc95071b0,1
TERM_001a453a,ITEM_8e5b32eafb3a,0
TERM_001dfd42,ITEM_fa1cf137b2f8,1
TERM_001dfd42,ITEM_0f74200c9325,1
TERM_001dfd42,ITEM_e31e3fd671ad,1
TERM_001dfd42,ITEM_995fdeccc35f,0
TERM_001dfd42,ITEM_38dcc64317b6,1
TERM_001dfd42,ITEM_41ef41742473,1
TERM_00209282,ITEM_4c084e7fbcef,0
TERM_00209282,ITEM_57c1115de654,1
TERM_00209282,ITEM_05e82b05a720,1
TERM_00209282,ITEM_fc73df2f0e47,1
TERM_00209282,ITEM_58c47ed62689,1
TERM_00209282,ITEM_5e6d1a4c732a,0
TERM_00247623,ITEM_9b8d5e0f3e19,1
TERM_00247623,ITEM_c4543917ea9a,1
TERM_00247623,ITEM_5fb22d5cc818,1
TERM_00247623,ITEM_b9d8e6c1bf53,1
TERM_00247623,ITEM_9ced18fdc05c,1
TERM_00247623,ITEM_409ac07043d1,1
TERM_0024b0d1,ITEM_467f1d85c347,1
TERM_0024b0d1,ITEM_7b5227c081ce,0
TERM_0024b0d1,ITEM_b365f0c05f89,0
TERM_0024b0d1,ITEM_d00f5bb05d8f,0
TERM_0024b0d1,ITEM_06312ba5dc65,0
TERM_0024b0d1,ITEM_77845bdc1b8d,0
TERM_002ed9d9,ITEM_8f55fe73ff91,1
TERM_002ed9d9,ITEM_7116df4512c1,1
TERM_002ed9d9,ITEM_1a397433cef1,1
TERM_002ed9d9,ITEM_9c47811103a5,1
TERM_002ed9d9,ITEM_9a1607bc88c5,1
TERM_0033a102,ITEM_1db1af0ee797,1
TERM_0033a102,ITEM_16fa8d8cdb67,0
TERM_0033a102,ITEM_33e375565492,0
TERM_0033a102,ITEM_d6173929177e,0
TERM_0033a102,ITEM_357f5046dfec,0
TERM_0033a102,ITEM_364da7d3a699,1
TERM_0034897b,ITEM_8eb2ab88eba3,1
TERM_0034897b,ITEM_66b40567e27f,1
TERM_0034897b,ITEM_18d7b174429a,1
TERM_0034897b,ITEM_5dac25137c92,1
TERM_0034897b,ITEM_581070eff58d,1
TERM_0035f0bf,ITEM_18fcc23ef885,1
TERM_0035f0bf,ITEM_cb534f7d3afa,1
TERM_0035f0bf,ITEM_b9a41635c4e2,1
TERM_0035f0bf,ITEM_3aa0321332cf,1
TERM_0035f0bf,ITEM_3fa875b9087e,1
TERM_00391063,ITEM_39a3258bb462,0
TERM_00391063,ITEM_0395da6f1e9c,1
TERM_00391063,ITEM_38c913eccbc7,1
TERM_00391063,ITEM_fa02e941d671,1
TERM_00391063,ITEM_f437e6f2eba1,1
TERM_00391063,ITEM_c9af60340e96,1
TERM_003996f2,ITEM_8f87589d622c,1
TERM_003996f2,ITEM_ba4086f1e8e4,1
TERM_003996f2,ITEM_d79c6a580137,1
TERM_003996f2,ITEM_c81e50c96c4e,1
TERM_003996f2,ITEM_6dbf16a3b0f5,1
TERM_00416cb7,ITEM_038447ced25e,0
TERM_00416cb7,ITEM_a50cf617e9bd,0
TERM_00416cb7,ITEM_c586e7bde0e5,0
TERM_00416cb7,ITEM_d2c6c5322636,0
TERM_00416cb7,ITEM_ab5ee97ea84c,0
TERM_00474693,ITEM_528d5165e772,1
TERM_00474693,ITEM_2b8dd06efa6f,1
TERM_00474693,ITEM_1171f9d7e39d,1
TERM_00474693,ITEM_a31689f6b194,1
TERM_00474693,ITEM_7dc4d49f8a9e,0
TERM_0047e1ec,ITEM_c2a2eba97ebd,1
TERM_0047e1ec,ITEM_6385ec434049,1
TERM_0047e1ec,ITEM_085dcb8505e0,1
TERM_0047e1ec,ITEM_bee864519058,0
TERM_0047e1ec,ITEM_07a65ebc838e,0
TERM_0047e1ec,ITEM_d5ebf7b15a07,0
TERM_00574954,ITEM_f8ae3326ffc5,1
TERM_00574954,ITEM_79ebf1fce502,1
TERM_00574954,ITEM_fe596fa06cb0,1
TERM_00574954,ITEM_fe976b77570e,1
TERM_00574954,ITEM_1be2d140c1eb,1
TERM_0057f871,ITEM_8a1f39622603,1
TERM_0057f871,ITEM_4dba2f0ef87d,1
TERM_0057f871,ITEM_8601d49d4a58,1
TERM_0057f871,ITEM_244e2866ac33,1
TERM_0057f871,ITEM_9cd94a240b28,1
TERM_005c15fe,ITEM_7e368dc5c02d,0
TERM_005c15fe,ITEM_021d2a7a094a,0
TERM_005c15fe,ITEM_ced8dccfb694,0
TERM_005c15fe,ITEM_ccf085bd39e3,0
TERM_005c15fe,ITEM_e3982451f61a,0
TERM_005c15fe,ITEM_941852c639cf,0
TERM_005e5987,ITEM_b8bdf19cd732,1
TERM_005e5987,ITEM_5dec21f5cef8,1
